SPU,包装尺寸,包装实重(KGS),Shipping Cost ($)
CHELSEA PATTERN B,107.50*46.50*16.50,10.7,16.5857736
CICILIA GREY A,112.50*44.00*17.00,9.15,15.2189092
CORMORANT BEIGE,47.00*47.00*35.00,8.8,11.9102624
EDELINE OTTOMAN,86.00*86.00*31.00,20.0,19.78696
GAVIN LONDON,39.00*7.00*40.00,2.8,6.6191743999999995
NUHU BEIGE OAK LEG,120.00*40.00*14.00,8.85,11.954354799999999
NUHU CHARCOAL OAK LEG,120.00*40.00*14.00,8.85,11.954354799999999
NUHU CORA OAK LEG,120.00*40.00*14.00,8.85,11.954354799999999
NUHU DARK BLUE OAK LEG,120.00*40.00*14.00,8.85,11.954354799999999
RIZZO DARK BLUE,128.00*46.00*17.00,11.5,17.291252
SAKA DARK BLUE,47.00*48.00*22.00,30.0,23.60544
SAKA TEAL,47.00*48.00*22.00,30.0,23.60544
SLIP BENCH FROST BLACK GOLD LEGS,116.00*42.00*10.00,9.85,15.8362028
SLIP BENCH FROST BLUSH GOLD LEGS,116.00*42.00*10.00,9.85,15.8362028
SLIP BENCH FROST ROYAL BLUE GOLD LEGS,116.00*42.00*10.00,9.85,15.8362028
CANDIDA SLIM,94.50*34.50*19.00,17.0,17.141416
HENON,129.00*43.00*12.00,17.0,17.141416
HONOURABLE GLASS,101.00*45.00*15.50,19.3,19.1696664
KAPTOUM FIVE LAYER,110.00*35.00*27.00,16.0,16.259567999999998
KORNETKA,122.00*35.00*17.50,23.6,17.9616128
LACK FIVE,185.00*40.00*24.00,28.36,22.15920928
LINE BENT LMKZ,82.00*78.00*21.00,15.4,15.730459199999999
SEXTON SLIM,62.50*48.00*9.00,7.6,10.852044799999998
AUDERO FABRIC PINK,75.00*75.00*66.00,22.0,21.550656
AUDERO VELVET GREY,77.00*76.00*66.00,19.5,19.346035999999998
AUDERO VELVET RUST,75.00*75.00*66.00,22.0,21.550656
CLEMENCY DOUBLE,171.00*96.00*56.00,50.0,41.2424
CYNRIC DOUBLE,130.00*84.00*62.00,35.0,28.01468
CYNRIC SINGLE,90.00*84.00*62.00,27.5,21.40082
EDELINE ARMLESS CHAIR,93.00*88.00*60.00,20.0,19.78696
EDELINE CORNER,89.00*89.00*59.00,20.0,19.78696
EDWINA DOUBLE SEATER,147.50*85.00*63.00,49.7,40.9778456
ADRIA TV STAND GOLD LEG A,164.00*37.00*13.00,18.4,18.3760032
FACTO TV STAND DARK WOOD B,132.00*46.50*13.00,16.1,16.347752800000002
FACTO TV STAND MARBLE,132.00*45.50*15.00,16.7,16.876861599999998
FAVRE TV STAND LONG WALNUT,139.00*40.00*15.00,27.0,20.959896
OBERT OAK,175.00*48.00*15.50,43.7,35.6867576
PANYA OAK,175.00*48.00*13.00,34.3,27.397386399999995
ADALGIS CHORMED BAR CHARCOL,69.00*38.00*52.00,10.0,15.96848
ALDRIDGE BAR 30 BLUE VELVET BLACK LEG,90.00*44.50*65.00,16.9,17.0532312
ALDRIDGE BAR 30 GREEN VELVET BLACK LEG,90.00*44.50*65.00,16.9,17.0532312
ALDRIDGE BAR 30 GREY VELVET BLACK LEG,90.00*44.50*65.00,16.9,17.0532312
ALDRIDGE BAR 30 GREY VELVET BLACK LEG,90.00*44.50*65.00,16.9,17.0532312
ALDRIDGE COUNTER 26 BLUE VELVET BLACK LEG,70.00*50.00*65.00,16.9,17.0532312
ALDRIDGE COUNTER 26 GREEN VELVET BLACK LEG,70.00*50.00*65.00,16.9,17.0532312
ALDRIDGE COUNTER 26 GREY VELVET BLACK LEG,70.00*50.00*65.00,16.9,17.0532312
ALDRIDGE COUNTER 26 GREY VELVET BLACK LEG,70.00*50.00*65.00,16.9,17.0532312
