拖柜时间,工厂实际完工时间,合同号,Invoice No:,出运单号,货代,客户名称,组织所属公司,客户的国别,装运港,目的港,SKU,英文名,产品图片,产品数量,工厂,合同状态,业务组,入库商家,四字机构,ETD,ETA PORT,海外仓,柜号,创建日期,业务类型,入库时间,箱数,出口收汇USD,单件净重,单件毛重,单件体积,总体积,PC,/CTN,一件多箱,PO#01,PO#02,数据来源,销售单价,采购单价,销售币别,采购币别,流程状态,订舱号,采购-USD汇率,实际装柜时间,设计佣金率,设计佣金（美元）,付佣(美元),扣佣(美元),工厂采购币别,工厂采购总额,单据状态,合同执行说明,客户货号,交单时间,包装尺寸长宽高,69码,四字码,结算类型,成本USD,平台佣金费,国内费用合计USD,国外费用合计USD,代理出运单号,代理机构,代理公司,预估国内汇总(美元),预估其他国外(美元),平台佣金(美元),财税服务费(美元),工厂采购总额(美元),物料分类英文名,开票状态,出口发票号,产品经理佣金(美元),产品经理,产品经理组织,设计佣金应收公司,产品经理佣金应收公司,销售-人民币汇率,预计国内运杂费(人民币),预计国内其他费用(人民币),设计佣金应发奖励,实际应付设计佣金,产品经理佣金应发奖励,同集群豁免产品经理佣金,实际应付产品经理佣金
2022-08-25,,R22GX-ZY00025,R22GX-ZY00025F01,R22GX-ZY00025S001,,39F INC.,广东广新家具有限公司,Canada,天津,温哥华,600012507.0,SMEG TIAANIUM 32MM ROSE A,,40,廊坊森雅家具有限公司,已报关出运完成,正一观,QXD_39FINC,晓望梅观GX,2022-08-29,2022-09-25,Delta,CSNU8515770,2022-08-10,电商,2022-10-21,20,753.34,10.0,12.3,0.139,2.78,2,1,否,V015,,中国仓WMS,24.32,17.57,CAD,USD,排产中,,1.0,,0.03,22.6,0.0,0.0,RMB,4672.8,已报关出运完成,,,2022-09-06,56*48*51.5cm;,6935653145621.0,1879,人民币出厂含税结算,,6.03,1353.6,0.0,,,,55.23,0.0,6.03,0.0,702.79,Dining Chair,,,0.0,,,广州天泽鸿渐设计有限公司,,0.7744,8000.0,1000.0,,,,,
2022-08-25,,R22GX-ZY00025,R22GX-ZY00025F01,R22GX-ZY00025S001,,39F INC.,广东广新家具有限公司,Canada,天津,温哥华,600013753.0,SMEG GREY PU BLACK GOLD LEG,,36,廊坊森雅家具有限公司,已报关出运完成,正一观,QXD_39FINC,晓望梅观GX,2022-08-29,2022-09-25,Delta,CSNU8515770,2022-08-10,电商,2022-10-21,18,802.34,10.0,12.3,0.139,2.502,2,1,否,V015,,中国仓WMS,28.78,21.07,CAD,USD,排产中,,1.0,,0.03,24.07,0.0,0.0,RMB,5043.24,已报关出运完成,,,2022-09-06,56*48*51.5cm;,6935653152933.0,2715,人民币出厂含税结算,,6.42,1353.6,0.0,,,,49.68,0.0,6.42,0.0,758.5,Dining Chair,,,0.0,,,广州天泽鸿渐设计有限公司,,0.7744,8000.0,1000.0,,,,,
2022-08-25,,R22GX-ZY00025,R22GX-ZY00025F01,R22GX-ZY00025S001,,39F INC.,广东广新家具有限公司,Canada,天津,温哥华,600005218.0,ZOMBA GREY VELVET DIAMOND KD METAL SY,,50,廊坊森雅家具有限公司,已报关出运完成,正一观,QXD_39FINC,晓望梅观GX,2022-08-29,2022-09-25,Delta,CSNU8515770,2022-08-10,电商,2022-10-21,25,844.48,10.5,13.0,0.126,3.15,2,1,否,V015,,中国仓WMS,21.81,15.9,CAD,USD,排产中,,1.0,,0.03,25.33,0.0,0.0,RMB,5285.0,已报关出运完成,,,2022-09-06,51*46*52cm;,6935653104222.0,8738,人民币出厂含税结算,,6.76,1353.6,0.0,,,,62.54,0.0,6.76,0.0,794.86,Dining Chair,,,0.0,,,广州天泽鸿渐设计有限公司,,0.7744,8000.0,1000.0,,,,,
,2022-08-10,R22GX-A801065,R22GX-A801065F01,R22GX-A801065S001,,CANADIAN TIRE,广东广新家具有限公司,Canada,厦门,温哥华,104502101517.0,HEAVEN CTC,,1200,漳州市诺飞商贸有限公司,新增,状元坊,,晓望梅观GX,,,,,2022-08-10,传统,,100,4000.92,20.6,22.6,0.115,11.5,12,1,否,07999959,,中国仓WMS,4.33,23.5,USD,RMB,排产中,,0.1504,,0.02,103.92,0.0,1195.08,,28200.0,新增,,068-0791-6,,73*50*31.5cm;,,,人民币出厂含税结算,,51.96,,0.0,,,,,0.0,51.96,,,Stool,,,,,,广州天泽鸿渐设计有限公司,,1.0,818.939,43.56,,,,,
2022-09-08,2022-08-10,R22GX-A801065,R22GX-A801065F01,R22GX-A801065S002,,CANADIAN TIRE,广东广新家具有限公司,Canada,厦门,温哥华,104502101517.0,HEAVEN CTC,,1200,漳州市诺飞商贸有限公司,已报关出运完成,状元坊,,晓望梅观GX,2022-09-14,2022-10-19,,CAIU5841202,2022-08-10,传统,,100,4000.92,20.6,22.6,0.115,11.5,12,1,否,07999959,,中国仓WMS,4.33,23.5,USD,RMB,排产中,CTCVANN25930XM0,0.1504,,0.02,103.92,0.0,1195.08,RMB,28200.0,已报关出运完成,to 财务：多安排支付200RMB返工费给诺飞，计入合同号R22GX-A801065F01,068-0791-6,2022-09-09,73*50*31.5cm;,,,人民币出厂含税结算,,51.96,874.2,0.0,,,,129.29,0.0,51.96,8.0,4241.28,Stool,,,,,,广州天泽鸿渐设计有限公司,,1.0,5768.97,43.56,,,,,
2022-09-08,,R22GX-A801040,R22GX-A801040F01,R22GX-A801065S002,,CANADIAN TIRE,广东广新家具有限公司,Canada,厦门,温哥华,4700101704.0,MANGO DOUBLE H 2,,3456,福建红梅家具有限公司,已报关出运完成,状元坊,Tradition,晓望梅观GX,2022-09-14,2022-10-19,,CAIU5841202,2022-08-10,传统,,576,17616.61,21.0,22.0,0.115,66.24,6,1,否,07932528,,中国仓WMS,6.62,36.5,USD,RMB,排产中,CTCVANN25930XM0,0.1504,,0.02,457.57,0.0,5262.11,RMB,126144.0,已报关出运完成,to 财务：多安排支付200RMB返工费给诺飞，计入合同号R22GX-A801065F01,068-0260-0,2022-09-09,91.5*28*45cm;,,,人民币出厂含税结算,,228.79,874.2,0.0,,,,744.91,0.0,228.79,35.23,18972.06,Folding Chair,,,,,,广州天泽鸿渐设计有限公司,,1.0,5768.97,43.56,,,,,
,2022-08-25,R22GX-A801040,R22GX-A801040F01,R22GX-A801040S001,,CANADIAN TIRE,广东广新家具有限公司,Canada,厦门,温哥华,4700101704.0,MANGO DOUBLE H 2,,3456,福建红梅家具有限公司,新增,状元坊,Tradition,晓望梅观GX,,,,,2022-08-10,传统,,576,17616.61,21.0,22.0,0.115,66.24,6,1,否,07932528,,中国仓WMS,6.62,36.5,USD,RMB,排产中,,0.1504,,0.02,457.57,0.0,5262.11,,126144.0,新增,,068-0260-0,,91.5*28*45cm;,,,人民币出厂含税结算,,228.79,,0.0,,,,,0.0,228.79,,,Folding Chair,,,,,,广州天泽鸿渐设计有限公司,,1.0,4950.0,0.0,,,,,
2022-08-30,2022-08-20,R22GX-A801039,R22GX-A801039F01,R22GX-A801039S001,,CANADIAN TIRE,广东广新家具有限公司,Canada,厦门,温哥华,4700101704.0,MANGO DOUBLE H 2,,3456,福建红梅家具有限公司,已报关出运完成,状元坊,Tradition,晓望梅观GX,2022-09-04,2022-09-26,,TRHU7939598,2022-08-10,传统,,576,17616.61,21.0,22.0,0.115,66.24,6,1,否,07922120,,中国仓WMS,6.62,36.5,USD,RMB,排产中,CTCVANN25929XM0,0.1504,,0.02,457.57,0.0,5262.11,RMB,126144.0,已报关出运完成,,068-0260-0,2022-09-06,91.5*28*45cm;,,,人民币出厂含税结算,,228.79,1488.96,0.0,,,,744.48,0.0,228.79,35.23,18972.06,Folding Chair,,,,,,广州天泽鸿渐设计有限公司,,1.0,9900.0,0.0,,,,,
2022-08-30,2022-08-20,R22GX-A801039,R22GX-A801039F01,R22GX-A801039S001,,CANADIAN TIRE,广东广新家具有限公司,Canada,厦门,温哥华,4700101704.0,MANGO DOUBLE H 2,,3456,福建红梅家具有限公司,已报关出运完成,状元坊,Tradition,晓望梅观GX,2022-09-04,2022-09-26,,MRSU5662710,2022-08-10,传统,,576,17616.61,21.0,22.0,0.115,66.24,6,1,否,07922120,,中国仓WMS,6.62,36.5,USD,RMB,排产中,CTCVANN25929XM0,0.1504,,0.02,457.57,0.0,5262.11,RMB,126144.0,已报关出运完成,,068-0260-0,2022-09-06,91.5*28*45cm;,,,人民币出厂含税结算,,228.79,1488.96,0.0,,,,744.48,0.0,228.79,35.23,18972.06,Folding Chair,,,,,,广州天泽鸿渐设计有限公司,,1.0,9900.0,0.0,,,,,
2022-09-07,2022-08-25,R22GX-A801057,R22GX-A801057F01,R22GX-A801057S001,,CANADIAN TIRE,广东广新家具有限公司,Canada,厦门,温哥华,5020101804.0,JEN GRAY,,2538,漳州市诺飞商贸有限公司,已报关出运完成,状元坊,Tradition,晓望梅观GX,2022-09-10,2022-10-15,,TCLU6741987,2022-08-10,传统,,423,20969.21,27.0,29.0,0.16,67.68,6,1,否,07922120,,中国仓WMS,10.73,55.0,USD,RMB,排产中,CTCVANN25946XM0,0.1439,,0.02,544.65,0.0,6263.53,RMB,139590.0,已报关出运完成,客人系统价格11.29，我们系统按降价后的10.73,068-0262-6,2022-09-09,108*30.5*48.5cm;,6970011021674.0,4043,人民币出厂含税结算,,272.33,1424.61,0.0,,,,712.31,0.0,272.33,41.94,20087.0,Folding Chair,,,,,,广州天泽鸿渐设计有限公司,,1.0,9400.0,500.0,,,,,
2022-09-07,2022-08-25,R22GX-A801057,R22GX-A801057F01,R22GX-A801057S001,,CANADIAN TIRE,广东广新家具有限公司,Canada,厦门,温哥华,5020101804.0,JEN GRAY,,2538,漳州市诺飞商贸有限公司,已报关出运完成,状元坊,Tradition,晓望梅观GX,2022-09-10,2022-10-15,,CMAU6757758,2022-08-10,传统,,423,20969.21,27.0,29.0,0.16,67.68,6,1,否,07922120,,中国仓WMS,10.73,55.0,USD,RMB,排产中,CTCVANN25946XM0,0.1439,,0.02,544.65,0.0,6263.53,RMB,139590.0,已报关出运完成,客人系统价格11.29，我们系统按降价后的10.73,068-0262-6,2022-09-09,108*30.5*48.5cm;,6970011021674.0,4043,人民币出厂含税结算,,272.33,1424.61,0.0,,,,712.31,0.0,272.33,41.94,20087.0,Folding Chair,,,,,,广州天泽鸿渐设计有限公司,,1.0,9400.0,500.0,,,,,
2022-11-10,2022-08-24,R22GX-A801042,R22GX-A801042F01,R22GX-A801042S001,,CANADIAN TIRE,广东广新家具有限公司,Canada,厦门,温哥华,5054200401311.0,GOFF T,,1800,漳州市诺飞商贸有限公司,已报关出运完成,状元坊,Tradition,晓望梅观GX,2022-11-15,2022-12-10,,MSKU4812456,2022-08-10,传统,,1800,23756.04,6.7,8.4,0.043,77.4,1,1,否,07932525,,中国仓WMS,17.14,13.99,USD,USD,排产中,CTCVANN26165XM0,1.0,,0.02,617.04,0.0,7095.96,RMB,167400.0,已报关出运完成,to 财务：请扣除内验重验费250RMB,068-0429-2,,88*89*5.5cm;,,,人民币出厂含税结算,,246.82,864.8,0.0,,,,864.8,0.0,246.82,47.51,25176.96,Dining Table,,,,,,广州天泽鸿渐设计有限公司,,1.0,5750.0,0.0,,,,,
2022-08-10,,R22GX-ZY00018,R22GX-ZY00018F01,R22GX-ZY00018S016,,39F INC.,广东广新家具有限公司,Canada,天津,美国,600005219.0,ZOMBA GREEN VELVET DIAMOND KD METAL SY,,10,廊坊森雅家具有限公司,审核装柜,正一观,QXD_39FINC,晓望梅观GX,2022-08-18,2022-10-19,US-Castle Gate,FCIU8434195,2022-08-10,传统,2022-10-20,5,171.0,10.5,12.5,0.122,0.61,2,1,否,WHS-44345-22382724,,中国仓WMS,17.1,15.9,USD,USD,排产中,,1.0,,0.03,5.13,0.0,0.0,RMB,1057.0,审核装柜,,,2022-08-15,51*46*52cm;,6935653104239.0,8744,人民币出厂含税结算,,1.37,496.32,0.0,,,,10.87,0.0,1.37,0.0,158.97,Dining Chair,,,0.0,,,广州天泽鸿渐设计有限公司,,1.0,2800.0,500.0,,,,,
2022-08-10,,R22GX-ZY00004,R22GX-ZY00004F01,R22GX-ZY00018S016,,39F INC.,广东广新家具有限公司,Canada,天津,美国,600012505.0,SMEG TIAANIUM 32MM A,,18,廊坊森雅家具有限公司,审核装柜,正一观,QXD_39FINC,晓望梅观GX,2022-08-18,2022-10-19,US-Castle Gate,FCIU8434195,2022-08-10,传统,2022-10-20,9,340.74,10.0,12.3,0.139,1.251,2,1,否,WHS-44345-22382724,,中国仓WMS,18.93,17.57,USD,USD,排产中,,1.0,,0.03,10.22,0.0,0.0,RMB,2102.76,审核装柜,,,2022-08-15,56*48*51.5cm;,6935653145591.0,1876,人民币出厂含税结算,,2.73,496.32,0.0,,,,22.28,0.0,2.73,0.0,316.26,Dining Chair,,,0.0,,,广州天泽鸿渐设计有限公司,,1.0,2800.0,500.0,,,,,
2022-08-10,,R22GX-ZY00020,R22GX-ZY00020F01,R22GX-ZY00018S016,,39F INC.,广东广新家具有限公司,Canada,天津,美国,500100010579.0,SLIP GLASS Ⅰ,,13,廊坊森雅家具有限公司,审核装柜,正一观,QXD_39FINC,晓望梅观GX,2022-08-18,2022-10-19,US-Castle Gate,FCIU8434195,2022-08-10,传统,2022-10-20,13,584.35,27.2,31.8,0.131,1.703,1,1,否,WHS-44345-22382724,,中国仓WMS,44.95,42.46,USD,USD,排产中,,1.0,,0.02,11.69,0.0,0.0,RMB,3669.9,审核装柜,,,2022-08-15,132*90*13cm;,6935653134212.0,0835,人民币出厂含税结算,,4.67,496.32,0.0,,,,30.33,0.0,4.67,0.0,551.95,Dining Table,,,0.0,,,广州天泽鸿渐设计有限公司,,1.0,2800.0,500.0,,,,,
2022-08-10,,R22GX-ZY00021,R22GX-ZY00021F01,R22GX-ZY00018S016,,39F INC.,广东广新家具有限公司,Canada,天津,美国,400017060.0,SMEG BAR CARAMEL PU BLACK GOLD LEG,,8,廊坊森雅家具有限公司,审核装柜,正一观,QXD_39FINC,晓望梅观GX,2022-08-18,2022-10-19,US-Castle Gate,FCIU8434195,2022-08-10,传统,2022-10-20,4,198.56,12.5,14.65,0.161,0.644,2,1,否,WHS-44345-22382724,,中国仓WMS,24.82,23.27,USD,USD,排产中,,1.0,,0.03,5.96,0.0,0.0,RMB,1237.6,审核装柜,,,2022-08-15,65*42*54cm;,6935653178445.0,5627,人民币出厂含税结算,,1.59,496.32,0.0,,,,11.46,0.0,1.59,0.0,186.14,Barstool,,,0.0,,,广州天泽鸿渐设计有限公司,,1.0,2800.0,500.0,,,,,
2022-08-10,,R22GX-ZY00018,R22GX-ZY00018F01,R22GX-ZY00018S016,,39F INC.,广东广新家具有限公司,Canada,天津,美国,600005218.0,ZOMBA GREY VELVET DIAMOND KD METAL SY,,10,廊坊森雅家具有限公司,审核装柜,正一观,QXD_39FINC,晓望梅观GX,2022-08-18,2022-10-19,US-Castle Gate,FCIU8434195,2022-08-10,传统,2022-10-20,5,171.0,10.5,13.0,0.126,0.63,2,1,否,WHS-44345-22382724,,中国仓WMS,17.1,15.9,USD,USD,排产中,,1.0,,0.03,5.13,0.0,0.0,RMB,1057.0,审核装柜,,,2022-08-15,51*46*52cm;,6935653104222.0,8738,人民币出厂含税结算,,1.37,496.32,0.0,,,,11.22,0.0,1.37,0.0,158.97,Dining Chair,,,0.0,,,广州天泽鸿渐设计有限公司,,1.0,2800.0,500.0,,,,,
2022-08-10,,R22GX-ZY00018,R22GX-ZY00018F01,R22GX-ZY00018S016,,39F INC.,广东广新家具有限公司,Canada,天津,美国,600005218.0,ZOMBA GREY VELVET DIAMOND KD METAL SY,,18,廊坊森雅家具有限公司,审核装柜,正一观,QXD_39FINC,晓望梅观GX,2022-08-18,2022-10-19,US-Castle Gate,FCIU8434195,2022-08-10,传统,2022-10-20,9,307.8,10.5,13.0,0.126,1.134,2,1,否,WHS-44345-22382724,,中国仓WMS,17.1,15.9,USD,USD,排产中,,1.0,,0.03,9.23,0.0,0.0,RMB,1902.6,审核装柜,,,2022-08-15,51*46*52cm;,6935653104222.0,8738,人民币出厂含税结算,,2.46,496.32,0.0,,,,20.2,0.0,2.46,0.0,286.15,Dining Chair,,,0.0,,,广州天泽鸿渐设计有限公司,,1.0,2800.0,500.0,,,,,
2022-08-10,,R22GX-ZY00018,R22GX-ZY00018F01,R22GX-ZY00018S016,,39F INC.,广东广新家具有限公司,Canada,天津,美国,600009227.0,ZOMBA TERRY FABRIC YELLOW,,10,廊坊森雅家具有限公司,审核装柜,正一观,QXD_39FINC,晓望梅观GX,2022-08-18,2022-10-19,US-Castle Gate,FCIU8434195,2022-08-10,传统,2022-10-20,5,170.1,10.2,12.3,0.122,0.61,2,1,否,WHS-44345-22382724,,中国仓WMS,17.01,15.81,USD,USD,排产中,,1.0,,0.03,5.1,0.0,0.0,RMB,1051.0,审核装柜,,,2022-08-15,51*46*52cm;,6935653128303.0,0208,人民币出厂含税结算,,1.36,496.32,0.0,,,,10.87,0.0,1.36,0.0,158.07,Dining Chair,,,0.0,,,广州天泽鸿渐设计有限公司,,1.0,2800.0,500.0,,,,,
