song_name,duration_ms,popularity,preview_url,artists,album_name,album_type,release_date,total_tracks,album_cover_url
Acid Tunnel of Love,90461,54,https://p.scdn.co/mp3-preview/460f6a1c6d23d08a816cd34361245703940f4088?cid=38e2a4a43dbf4f63a749947cbcb26e74,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),album,2021-09-17,47,https://i.scdn.co/image/ab67616d0000b2734e48efe54e29fa5dc5e0a0d6
Fireflies,228346,81,,Owl City,Ocean Eyes,album,2009-01-01,12,https://i.scdn.co/image/ab67616d0000b273785d4e702802da500fc78b32
"Swordland (From ""Sword Art Online"")",178124,29,https://p.scdn.co/mp3-preview/f68e3fafbb916fcf890b2e36b8072ae6d892c8e5?cid=38e2a4a43dbf4f63a749947cbcb26e74,Taylor Davis,"Swordland (From ""Sword Art Online"")",single,2015-09-01,1,https://i.scdn.co/image/ab67616d0000b27390df46dd8d47e60a1f5ca82c
"Fiction (from ""Wotakoi: Love Is Hard for Otaku"")",229739,6,https://p.scdn.co/mp3-preview/379142a6b5502c3644a44cff21c479b562ed76ad?cid=38e2a4a43dbf4f63a749947cbcb26e74,Nicki Gee,"Fiction (from ""Wotakoi: Love Is Hard for Otaku"")",single,2022-07-01,1,https://i.scdn.co/image/ab67616d0000b273341fd0e29ee10333a1bec740
MONSTER,213139,57,https://p.scdn.co/mp3-preview/684cf50fd015a970a18e3171f88c86648e6dfbef?cid=38e2a4a43dbf4f63a749947cbcb26e74,KIRA,The Introduction,album,2018-09-22,11,https://i.scdn.co/image/ab67616d0000b273420b3eac10acaca24f5198f0
Shinjitsu No Uta,257781,35,https://p.scdn.co/mp3-preview/20ccaa9515f5b5d097f27b0f5eb217dc88d14f6e?cid=38e2a4a43dbf4f63a749947cbcb26e74,Gabriela Vega,Inuyasha,album,2016-05-23,11,https://i.scdn.co/image/ab67616d0000b2730f3660cd840fedcb24950052
Come,275000,49,https://p.scdn.co/mp3-preview/0a07cc8213aad58a9ca109402ed3dedbf8b8741b?cid=38e2a4a43dbf4f63a749947cbcb26e74,Various Artists,犬夜叉 BEST ALBUM 主題歌集,compilation,2021-12-24,15,https://i.scdn.co/image/ab67616d0000b27366861444cc50b54c11822545
BBoom BBoom,208863,69,https://p.scdn.co/mp3-preview/133acd43bc535b487f0ab5a520ae62bd20207b87?cid=38e2a4a43dbf4f63a749947cbcb26e74,MOMOLAND,GREAT!,single,2018-01-03,6,https://i.scdn.co/image/ab67616d0000b273a5bb4ef1ca42f4378d815c7c
CORE,166392,55,https://p.scdn.co/mp3-preview/b6c551ef5c6b8c666a0d5b2606fb573c913994a9?cid=38e2a4a43dbf4f63a749947cbcb26e74,Toby Fox,UNDERTALE Soundtrack,album,2015-09-15,101,https://i.scdn.co/image/ab67616d0000b27324edb22d068eb245a924b7f2
Can-Can From Orpheus In The Underworld,133760,47,https://p.scdn.co/mp3-preview/a30786fe64ffed9586f76fdca78ccec377ce0445?cid=38e2a4a43dbf4f63a749947cbcb26e74,Royal Philharmonic Orchestra,Last Night of the Proms,album,2007-08-03,17,https://i.scdn.co/image/ab67616d0000b2730947f8018fbb25c91d7c7525
"Torikago (From ""DARLING in the FRANXX"")",105000,44,https://p.scdn.co/mp3-preview/f4fe3a4c4c7ea2eb33b55f4771efd73c352fdbd7?cid=38e2a4a43dbf4f63a749947cbcb26e74,Akano,"Torikago (From ""DARLING in the FRANXX"")",single,2021-03-09,1,https://i.scdn.co/image/ab67616d0000b2739a8138e9678b0dafc8ef2d71
Aqua Aura,165793,44,https://p.scdn.co/mp3-preview/66765b4dace1f21b16c4cdc4bce061228a6acbf5?cid=38e2a4a43dbf4f63a749947cbcb26e74,Aquatic Dreamer,Aqua Aura,single,2023-12-29,1,https://i.scdn.co/image/ab67616d0000b2733a636bbcf97f782bed0393a2
Hilda's Theme,132057,19,https://p.scdn.co/mp3-preview/38c7148bda2e56853803003c67b2e12b1baa3ded?cid=38e2a4a43dbf4f63a749947cbcb26e74,The Versions,The Legend of Zelda: A Link Between Worlds,album,2017-08-10,8,https://i.scdn.co/image/ab67616d0000b2730db3bf6834fc8bbe3ff06ff9
Caramelldancing - Christmas Version,180360,44,https://p.scdn.co/mp3-preview/b32db10cc8f1343ea94a0060bd6bb61d5ba4b0d1?cid=38e2a4a43dbf4f63a749947cbcb26e74,Caramella Girls,Caramelldancing (Christmas Version),single,2009-11-26,1,https://i.scdn.co/image/ab67616d0000b273dd29ebfcc2ac38000a325e15
Dollhouse,231853,78,https://p.scdn.co/mp3-preview/554c48d779027eebd5bd8fe4cd866390b7c66203?cid=38e2a4a43dbf4f63a749947cbcb26e74,Melanie Martinez,Cry Baby (Deluxe Edition),album,2015-08-14,16,https://i.scdn.co/image/ab67616d0000b2733899712512f50a8d9e01e951
Peek-A-Boo,189049,70,https://p.scdn.co/mp3-preview/2cf3de77dcf406efbc29787e03e339416856daf9?cid=38e2a4a43dbf4f63a749947cbcb26e74,Red Velvet,Perfect Velvet - The 2nd Album,album,2017-11-17,9,https://i.scdn.co/image/ab67616d0000b2736538b8e1b5c7b2a9d2211769
Mirai e,333133,46,https://p.scdn.co/mp3-preview/60ca3549b86ebbe3e0ea9d28b6159187571bf8f7?cid=38e2a4a43dbf4f63a749947cbcb26e74,Kiroro,Kodomo to Issho ni Kikitai Kiroro no Uta,album,2016-03-09,11,https://i.scdn.co/image/ab67616d0000b2731f896f11f5febe2c138e1c61
Chocobo Theme (Final Fantasy Series),69717,28,https://p.scdn.co/mp3-preview/5b147558714dfe895a9af7ea029eede31077a6f6?cid=38e2a4a43dbf4f63a749947cbcb26e74,Nobuo Uematsu,Final Fantasy Guitar Collection,album,2020-08-24,46,https://i.scdn.co/image/ab67616d0000b2738d3dd652b74af758ec6876d1
"Urbosa Reunion (From ""The Legend of Zelda: Breath of the Wild"") [Piano Version]",97526,24,https://p.scdn.co/mp3-preview/2434deda78bb7106aa96024b7938af6d95b4f839?cid=38e2a4a43dbf4f63a749947cbcb26e74,Streaming Music Studios,The Legend of Zelda: Breath of the Wild - A Piano Collection,album,2019-11-07,42,https://i.scdn.co/image/ab67616d0000b273e42be732ed6a4e412fc9ed6b
Deal with the devil - TV size,98466,43,https://p.scdn.co/mp3-preview/5df9f31dce77cdbcee5b3f55d8c17f9920d6e9d2?cid=38e2a4a43dbf4f63a749947cbcb26e74,Various Artists,"TVアニメ「賭ケグルイ」オリジナルサウンドトラック「賭ケグルイノ音 -Notes for ""kakegurui""-」",compilation,2018-01-24,61,https://i.scdn.co/image/ab67616d0000b273cd35e9b47e3e3e262ad9e983
Lemon Boy,272902,68,https://p.scdn.co/mp3-preview/1afca0db8b7b83784384b3086e7f216d4dbfae0b?cid=38e2a4a43dbf4f63a749947cbcb26e74,Cavetown,Lemon Boy,album,2018-01-01,13,https://i.scdn.co/image/ab67616d0000b273a29186e92ad38b89ae1611ea
Undertale Remix Medley: His Theme / Temmie Village / Undertale / Finale,308949,21,https://p.scdn.co/mp3-preview/61e1716e8cef2f59ac7ee2aa3ac6e9110fe1c196?cid=38e2a4a43dbf4f63a749947cbcb26e74,GameChops,Undertale Remix Medley: His Theme / Temmie Village / Undertale / Finale,single,2016,1,https://i.scdn.co/image/ab67616d0000b273a48a4441c36e3d0cbc613cba
My Hero Academia,205280,53,https://p.scdn.co/mp3-preview/458ccd78104eb5bcb5bd720e30704a04ee1fb004?cid=38e2a4a43dbf4f63a749947cbcb26e74,Yuki Hayashi,TVアニメ『僕のヒーローアカデミア』オリジナル・サウンドトラック,album,2016-07-13,35,https://i.scdn.co/image/ab67616d0000b273b8bf049db6f5b729d68e979c
Final Song - Diplo & Jauz Remix,190480,51,https://p.scdn.co/mp3-preview/b4f51c302816734123aac47ee74d7e67ad769d3d?cid=38e2a4a43dbf4f63a749947cbcb26e74,MØ,Final Song (Diplo & Jauz Remix),single,2016-12-30,1,https://i.scdn.co/image/ab67616d0000b273883e7701855ec32c34011773
SAKURA BURST (Naeleck Remix) - SACRA BEATS Singles,247384,49,https://p.scdn.co/mp3-preview/6594e87e281de12ef0fa2050431a3785aa2c49d9?cid=38e2a4a43dbf4f63a749947cbcb26e74,Cö shu Nie,SAKURA BURST (Naeleck Remix) - SACRA BEATS Singles,single,2022-02-11,1,https://i.scdn.co/image/ab67616d0000b2731bee6d72d2b38d6f99449035
Playing Forever,103973,44,https://p.scdn.co/mp3-preview/adc76b57e26f3ca726b3308aeb6c10e1dcc22888?cid=38e2a4a43dbf4f63a749947cbcb26e74,Omori,"Omori (Original Game Soundtrack), Pt.3",album,2020-12-25,59,https://i.scdn.co/image/ab67616d0000b273b080961348b7c4402e0186e9
"Samurai Heart (From ""Gintama"")",188030,39,https://p.scdn.co/mp3-preview/17494524567af77fadbf09dc51c1c21e2b980828?cid=38e2a4a43dbf4f63a749947cbcb26e74,AmaLee,Nostalgia V,album,2018-09-08,12,https://i.scdn.co/image/ab67616d0000b2735925f744886665d7867b773c
NAVILLERA,193579,59,https://p.scdn.co/mp3-preview/0bc12212e392e21eda5f6e44156f892863cf95ac?cid=38e2a4a43dbf4f63a749947cbcb26e74,GFRIEND,GFRIEND The 1st Album 'LOL',album,2016-07-11,12,https://i.scdn.co/image/ab67616d0000b27393f063bd7b14993d5ffb9287
Shape of You,233712,89,https://p.scdn.co/mp3-preview/7339548839a263fd721d01eb3364a848cad16fa7?cid=38e2a4a43dbf4f63a749947cbcb26e74,Ed Sheeran,÷ (Deluxe),album,2017-03-03,16,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
March of the Volunteers - National Anthem of the People's Republic of China,42000,3,,New Japan Philharmonic Orchestra,Music of The World - National Anthems,album,1997-01-01,67,https://i.scdn.co/image/ab67616d0000b27382df921b173916a282882753
"Meikyou Shisui (From ""Fate/Grand Order"")",300357,15,https://p.scdn.co/mp3-preview/06424ff43f418b168ecfd8c3201fb752fcfdee14?cid=38e2a4a43dbf4f63a749947cbcb26e74,SirHamnet,"Meikyou Shisui (From ""Fate/Grand Order"")",single,2023-07-24,1,https://i.scdn.co/image/ab67616d0000b27365ec7e3e0d5d859a307c901e
ツギハギスタッカート (feat. 初音ミク),247760,22,https://p.scdn.co/mp3-preview/515357213987344f5b3851993bd46f3dbe32b057?cid=38e2a4a43dbf4f63a749947cbcb26e74,Toa,MIKU/TOA,album,2021-09-22,16,https://i.scdn.co/image/ab67616d0000b273d006fa99e79b117bb830ff69
"Variazioni di bravura, on Caprice No. 24",267626,19,https://p.scdn.co/mp3-preview/3ecb840ac541183910a88c9f1c791c0b3c45a989?cid=38e2a4a43dbf4f63a749947cbcb26e74,Niccolò Paganini,"Paganini: Music for Violin and Guitar, Vol. 2",album,1994-05-27,18,https://i.scdn.co/image/ab67616d0000b273bcf3df9985c0d33f79b49f6a
コーラル・リーフ,224480,47,https://p.scdn.co/mp3-preview/3ed25b39860119b7d4a71c80c9e23f8ac7eddf93?cid=38e2a4a43dbf4f63a749947cbcb26e74,Haruomi Hosono,PACIFIC,album,1978,8,https://i.scdn.co/image/ab67616d0000b273a7177b1d4c69494024e02579
廃獄ララバイ,377243,27,https://p.scdn.co/mp3-preview/d96a8fa8b7fbd41de6949678c882db9d5a3fd4a0?cid=38e2a4a43dbf4f63a749947cbcb26e74,上海アリス幻樂団,東方地霊殿 〜 Subterranean Animism. サウンドトラック,album,2008-08-16,17,https://i.scdn.co/image/ab67616d0000b2738b36a5c41fd2507131185b98
PONPONPON,242826,57,https://p.scdn.co/mp3-preview/1a2dbbf0365072ddfc53f9f16e54069c11c77c29?cid=38e2a4a43dbf4f63a749947cbcb26e74,Kyary Pamyu Pamyu,ぱみゅぱみゅレボリューション,album,2012-01-11,12,https://i.scdn.co/image/ab67616d0000b27384bfd3025489b470a79af580
"Haruka Kanata - Asian Kung Fu Generation - From anime ""Naruto""",245695,6,https://p.scdn.co/mp3-preview/670c4631f263ac75f6914feb37bc77ade07a96e1?cid=38e2a4a43dbf4f63a749947cbcb26e74,Enye,Enye #2 -Haneda International Music Festival Presents-,album,2018-10-26,10,https://i.scdn.co/image/ab67616d0000b2732dae45f02beb810953fd72fa
Grand Escape (Movie Edit) [feat. Toko Miura],188066,59,https://p.scdn.co/mp3-preview/49472853862a549d98ff5ec1aac92db9fd4a4f90?cid=38e2a4a43dbf4f63a749947cbcb26e74,RADWIMPS,Weathering With You,album,2019-07-19,31,https://i.scdn.co/image/ab67616d0000b2733e2780c2283bbcb8f5d740d0
Fragile Fantasy,120900,49,https://p.scdn.co/mp3-preview/9ace4a023f10a5402c4720816c325b2beff6be05?cid=38e2a4a43dbf4f63a749947cbcb26e74,Yu-Peng Chen,Genshin Impact - Vortex of Legends (Original Game Soundtrack),album,2021-04-02,17,https://i.scdn.co/image/ab67616d0000b273141d9edc1508d9ef951990a6
"Sayonara Moon Town (From ""Boruto: Naruto Next Generations"")",90000,4,https://p.scdn.co/mp3-preview/306b00e3e3d912648fdc03c4f16d8adf5cba4ac1?cid=38e2a4a43dbf4f63a749947cbcb26e74,Jonathan Parecki,"Sayonara Moon Town (From ""Boruto: Naruto Next Generations"")",single,2017-09-26,1,https://i.scdn.co/image/ab67616d0000b2732ae301b5fd6eb6fb78780cf3
The Avengers,123360,64,,Alan Silvestri,The Avengers (Original Motion Picture Soundtrack),album,2012-01-01,18,https://i.scdn.co/image/ab67616d0000b273b0b9aaf0ef903add8f96ff6e
Stereo Hearts (Made Popular By Gym Class Heroes ft. Adam Levine) [Karaoke Version],222156,10,,Party Tyme Karaoke,Party Tyme Karaoke - Pop Party Pack 5,album,2018-11-16,64,https://i.scdn.co/image/ab67616d0000b27351d930f6a5042e7248b1e77f
Love Like You (feat. Rebecca Sugar) - End Credits,143629,75,https://p.scdn.co/mp3-preview/000c8ff7ab3f40e1126084e68a0440866ae9a10b?cid=38e2a4a43dbf4f63a749947cbcb26e74,Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",album,2017-06-02,37,https://i.scdn.co/image/ab67616d0000b273e18ff29a2fe8e9c0df309fa6
SugarCrash!,80080,73,https://p.scdn.co/mp3-preview/f95a14f4068c2d4fec8d2133cd3742bb88f2ba34?cid=38e2a4a43dbf4f63a749947cbcb26e74,ElyOtto,SugarCrash!,single,2020-08-25,1,https://i.scdn.co/image/ab67616d0000b27366f688086d483cf5781942e0
Christmas Kids,135693,79,https://p.scdn.co/mp3-preview/5c844a29d8d601e632c0d801c559bae3e5adac29?cid=38e2a4a43dbf4f63a749947cbcb26e74,Roar,I Can't Handle Change,single,2010-03-14,6,https://i.scdn.co/image/ab67616d0000b273d72f734a66c2b545facd7517
MachineGun Kiss - Full Spec Edition,270337,48,https://p.scdn.co/mp3-preview/9a411c6e76f44105ea8862d25e0fd541ad288777?cid=38e2a4a43dbf4f63a749947cbcb26e74,SEGA SOUND TEAM,Kazuma Kiryu Karaoke hit song collection(Ryu ga gotoku7 hikari to yami no yukue),single,2020-01-16,6,https://i.scdn.co/image/ab67616d0000b2736cedf06b77c1a36cf6130140
Hyrule Castle (From “The Legend of Zelda: A Link to the Past”),256308,25,https://p.scdn.co/mp3-preview/5575040215b0fbe70e75d28395973676eef11e6b?cid=38e2a4a43dbf4f63a749947cbcb26e74,The Noble Demon,"Classics Selection, Vol. III",album,2021-05-01,10,https://i.scdn.co/image/ab67616d0000b273f501851ea9d9c86d312923bb
Life is SHOW TIME,235360,46,https://p.scdn.co/mp3-preview/5808fbf4ddba8acbe7f958807437f401eb997b31?cid=38e2a4a43dbf4f63a749947cbcb26e74,Sho Kiryuuin,Life is SHOW TIME,single,2012-10-24,3,https://i.scdn.co/image/ab67616d0000b273a2b3cb63b58971e039777da3
Dead to Me,210120,60,https://p.scdn.co/mp3-preview/f11e3764d2ff0590422152f9cf199b67c9355466?cid=38e2a4a43dbf4f63a749947cbcb26e74,Melanie Martinez,Dollhouse,single,2014-05-19,4,https://i.scdn.co/image/ab67616d0000b2734518c57584339120db254db3
The Fox's Wedding,257558,48,https://p.scdn.co/mp3-preview/dda58a008b8fb9c6604f39d86350aa5913863ee1?cid=38e2a4a43dbf4f63a749947cbcb26e74,MASA WORKS DESIGN,ADULT,album,2016-03-05,15,https://i.scdn.co/image/ab67616d0000b273b12d2b1ffe0b9e117ccbbece
カラカラカラのカラ STuPiD DaNCe ReMiX (feat. 初音ミク),397737,32,https://p.scdn.co/mp3-preview/604ed6675f1da51feeb18ad45f6a5111f3047870?cid=38e2a4a43dbf4f63a749947cbcb26e74,Kikuo,カラカラカラのカラ STuPiD DaNCe ReMiX,single,2023-09-13,1,https://i.scdn.co/image/ab67616d0000b2733ace92b75a6e79a7dbb501cb
"Fugue in G Minor, BWV 578 ""Little""",220333,30,https://p.scdn.co/mp3-preview/ec66e59cb8f79fba175e6bf7e64ad04d8c12d32d?cid=38e2a4a43dbf4f63a749947cbcb26e74,Johann Sebastian Bach,Organ Works: Bach,album,1988-03-29,8,https://i.scdn.co/image/ab67616d0000b273c21f151e3fc160b50a08942a
Sonic & Knuckles - Flying Battery Zone (Act 2),103421,10,https://p.scdn.co/mp3-preview/d05c601aa3941bd29e6113fe2fbfa062445633cf?cid=38e2a4a43dbf4f63a749947cbcb26e74,GuitarDreamer,The Early Days - Vol. 3,album,2015-05-05,17,https://i.scdn.co/image/ab67616d0000b27328969079d180fb24ff21a59c
"Ginpatsu no Shounen - From ""Hunter x Hunter""",135579,15,https://p.scdn.co/mp3-preview/203e31993e40f1894bd601b914249c7578711387?cid=38e2a4a43dbf4f63a749947cbcb26e74,Unravel Project,Hunter x Hunter (Piano Version),single,2022-04-15,5,https://i.scdn.co/image/ab67616d0000b273c387ce1f4da57b0dea69f87c
Flame of Hope,231360,34,https://p.scdn.co/mp3-preview/1bcb586b2c4e6021e9299388f107dbfaeb6ea00a?cid=38e2a4a43dbf4f63a749947cbcb26e74,Bandai Namco Game Music,Tales of Arise (Original Soundtrack),album,2022-09-30,129,https://i.scdn.co/image/ab67616d0000b2735b532c0d5dae210bfad3b3af
King,238000,59,https://p.scdn.co/mp3-preview/f589adc3ed7ebc35596a750338b22aa8d5160ecc?cid=38e2a4a43dbf4f63a749947cbcb26e74,Lauren Aquilina,Fools,single,2012-10-22,4,https://i.scdn.co/image/ab67616d0000b2733af41dd7e8bce9b7b9be3f8d
"The Heritors of Arcadia (From ""Fire Emblem Echoes: Shadows of Valentia"") [For Piano Solo]",309248,15,https://p.scdn.co/mp3-preview/3656746a6c8431c6c0a80b0832ce6aeb0a9b5917?cid=38e2a4a43dbf4f63a749947cbcb26e74,daigoro789,Fire Emblem Echoes: Shadows of Valentia Piano Collections,album,2022-04-21,19,https://i.scdn.co/image/ab67616d0000b273f1440b0eb14d252cef27139a
"Flower Garden (From ""Super Mario World 2: Yoshi's Island"")",150620,36,https://p.scdn.co/mp3-preview/ffcf6d11194f7974fe338844a12e2f7ca2879ff5?cid=38e2a4a43dbf4f63a749947cbcb26e74,Qumu,Year 6,album,2020-09-10,24,https://i.scdn.co/image/ab67616d0000b27340baf4dd6b252ba0943afdc9
"Danse macabre in G Minor, Op. 40",432133,56,https://p.scdn.co/mp3-preview/10681762ca6e95138a4ffffcc0557f272524737c?cid=38e2a4a43dbf4f63a749947cbcb26e74,Camille Saint-Saëns,Saint-Saens: Symphony No. 3 / Piano Concerto No. 2,album,1996-12-31,9,https://i.scdn.co/image/ab67616d0000b2736e92095455d289f8c6f5159e
Ride,214506,84,https://p.scdn.co/mp3-preview/b571ceecaadc03941bdf4e683ea26e4e6d3f7c17?cid=38e2a4a43dbf4f63a749947cbcb26e74,Twenty One Pilots,Blurryface,album,2015-05-15,14,https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3
Kimi wa Boku ni Nite Iru - TV-Size type2,96040,11,https://p.scdn.co/mp3-preview/6c18c65a4d8aa2e883c229a7bb4b5768b2c2b9e5?cid=38e2a4a43dbf4f63a749947cbcb26e74,See-Saw,Mobile Suit Gundam Seed Destiny Suit Vol.10 Kira Yamato × Strike Freedomgundom,album,2006-04-21,7,https://i.scdn.co/image/ab67616d0000b273969a734a95cd0ceafeefa1b1
"ID Purpose (From ""Fire Emblem Awakening"")",234000,26,https://p.scdn.co/mp3-preview/666f9374e17cb4affa7dc32c330cf623d2785553?cid=38e2a4a43dbf4f63a749947cbcb26e74,The Consouls,World 4,album,2021-01-15,14,https://i.scdn.co/image/ab67616d0000b2735fb7b128aa42dc042f846bff
Try Everything,196853,72,,Michael Giacchino,Zootopia (Original Motion Picture Soundtrack),album,2016-02-12,22,https://i.scdn.co/image/ab67616d0000b273bb8981af04f38a53e2be34f5
"Across the Stars (Love Theme from ""Star Wars: Attack of the Clones"")",333346,61,,John Williams,Star Wars: Attack of the Clones (Original Motion Picture Soundtrack),album,2002-04-23,13,https://i.scdn.co/image/ab67616d0000b2733eeec51271e95760c82324f3
Aria Di Mezzo Carattere,242069,3,https://p.scdn.co/mp3-preview/9fbe11029a82e0755da8199cb40f71436ca7d638?cid=38e2a4a43dbf4f63a749947cbcb26e74,The Greatest Bits,Final Fantasy VI (Final Fantasy III SNES Compositions),album,2016-04-08,12,https://i.scdn.co/image/ab67616d0000b273b65b960e7a5cdf18f0921072
Find Your Flame,248986,61,https://p.scdn.co/mp3-preview/4837c8347732ec52c95636c0eb46959d2659fa8c?cid=38e2a4a43dbf4f63a749947cbcb26e74,Sonic The Hedgehog,Sonic Frontiers Original Soundtrack Stillness & Motion,album,2022-12-07,150,https://i.scdn.co/image/ab67616d0000b273d02dcc45642ce7f6982ca9b3
Dragonhearted,296546,47,https://p.scdn.co/mp3-preview/3982f553a77143fa1f3afc853162b36246961a98?cid=38e2a4a43dbf4f63a749947cbcb26e74,Tryhardninja,"Video Game Songs, Vol. 2",album,2016-12-05,50,https://i.scdn.co/image/ab67616d0000b2731202316da1d41b74b59719e1
My Neighbor Totoro,258826,57,https://p.scdn.co/mp3-preview/3ced580577255abc6d866fb981df273365b85aa5?cid=38e2a4a43dbf4f63a749947cbcb26e74,Joe Hisaishi,My Neighbor Totoro Image Song Collection,album,1987,11,https://i.scdn.co/image/ab67616d0000b273627d0471a292b9f418a31ef9
MTG DESESPERANÇA 1.0 - SLOWED + REVERB,110625,62,https://p.scdn.co/mp3-preview/e0a265f473bccd3378fd1c594d0f067ed907f54c?cid=38e2a4a43dbf4f63a749947cbcb26e74,Phonk Killer,MTG DESESPERANÇA 1.0 (SLOWED + REVERB),single,2023-08-04,1,https://i.scdn.co/image/ab67616d0000b2737bc6dc5b8927b6663dadd805
"Acid Hues (From ""Splatoon 2"") - Instrumental",222064,9,https://p.scdn.co/mp3-preview/79495f9561c439e3085adf98b77ae0afbde7ae42?cid=38e2a4a43dbf4f63a749947cbcb26e74,Mykah,Video Game Music 2021,album,2022-05-26,32,https://i.scdn.co/image/ab67616d0000b273d5ced63003b70c988f2cb108
"The Nutcracker (Suite), Op. 71a, TH. 35: I. Miniature Overture",184000,0,,Pyotr Ilyich Tchaikovsky,Happy Mothers day with Tchaikovsky,compilation,2022-05-07,178,https://i.scdn.co/image/ab67616d0000b273a7434fb00e135b7c4f2483e8
Theme of One Punch Man (Seigi Shikkou),106363,54,https://p.scdn.co/mp3-preview/470ba6eb6269c8367842380e5c1d29ef2d14e4c5?cid=38e2a4a43dbf4f63a749947cbcb26e74,RoomTone,Nice Fight. (Covers from One Punch Man),single,2019-04-21,3,https://i.scdn.co/image/ab67616d0000b273d4870cd67ccd99f8cfb1e226
Barbie Girl,197960,80,,Aqua,Aquarium (Special Edition),album,1997-01-01,17,https://i.scdn.co/image/ab67616d0000b273f5768db89dd8ac30fd0e414f
Learning to Play (Flute Room),134769,5,https://p.scdn.co/mp3-preview/725fb3da916450f0ea90f002fe19a8c86116a9df?cid=38e2a4a43dbf4f63a749947cbcb26e74,Flare,Yume Nikki: Between the Lines,album,2021-05-12,19,https://i.scdn.co/image/ab67616d0000b2739ebcbd20ae1043abcbaf5d3a
Birth of Love,211453,26,https://p.scdn.co/mp3-preview/86e44ae5c8ac646cce2989ca74f11f1d4abc1e74?cid=38e2a4a43dbf4f63a749947cbcb26e74,Various Artists,"TV Anime ""Mermaid Melody: Pichi Pichi Pitch Pure"" Vocal Collection Pure Box 2",compilation,2017-11-01,10,https://i.scdn.co/image/ab67616d0000b2736ecfa4e31cac5d55c3cc47f7
"Girei: Pain's Theme Song (From ""Naruto Shippuden"") [Deep Mix]",181000,0,https://p.scdn.co/mp3-preview/1eef895cdfc29e81de6d133ae4aab0d8dfd9a6fb?cid=38e2a4a43dbf4f63a749947cbcb26e74,RMaster,Anime Character Theme Songs,album,2017-12-01,18,https://i.scdn.co/image/ab67616d0000b273498ebcfd11bd4e7e0fe1fdec
We Young,224466,53,https://p.scdn.co/mp3-preview/783a2b50e83dfa106e6d8506c123452560481419?cid=38e2a4a43dbf4f63a749947cbcb26e74,NCT DREAM,We Young - The 1st Mini Album,single,2017-08-17,6,https://i.scdn.co/image/ab67616d0000b273c4785245600c0c8b1a6eed0f
Ferris Wheel,79200,46,https://p.scdn.co/mp3-preview/77ac842b0d035ba554c15ad0704e505e0d7c7610?cid=38e2a4a43dbf4f63a749947cbcb26e74,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),album,2021-09-17,47,https://i.scdn.co/image/ab67616d0000b2734e48efe54e29fa5dc5e0a0d6
Splattack! - Splatoon 3 Remix,144404,40,https://p.scdn.co/mp3-preview/488b3a52f128e44beb852ef878361573807283b6?cid=38e2a4a43dbf4f63a749947cbcb26e74,panpan,Splattack! (Splatoon 3 Remix),single,2021-02-24,1,https://i.scdn.co/image/ab67616d0000b27312595090361341f03a7cdc56
Don't Go,214380,65,https://p.scdn.co/mp3-preview/0595e111f6f46e7dba248896de326965217c5656?cid=38e2a4a43dbf4f63a749947cbcb26e74,EXO,The 1st Album 'XOXO' (Repackage),album,2013-08-05,28,https://i.scdn.co/image/ab67616d0000b2732795c34a8931367a0916de54
I Need To Know (from 'Barbie as the Island Princess'),237061,40,https://p.scdn.co/mp3-preview/32d37e9882ed8834817c16b1da5ef66d5e83e7f3?cid=38e2a4a43dbf4f63a749947cbcb26e74,Minnz Piano,"Barbie Film Piano Instrumentals, Vol. 2",album,2021-10-27,8,https://i.scdn.co/image/ab67616d0000b273e5191697a297afc2a5cd951e
La Vaguelette/Genshin Impact Furina Story Teaser - Emotional Piano Arrangement,149624,27,https://p.scdn.co/mp3-preview/6d5b590c48620f9ca342acd5b9fefa87009dc26e?cid=38e2a4a43dbf4f63a749947cbcb26e74,ChaconneScott,La Vaguelette/Genshin Impact Furina Story Teaser (Emotional Piano Arrangement),single,2023-11-10,1,https://i.scdn.co/image/ab67616d0000b273312ef0bf4b7a42c4a3e5983a
Kobayashi,89834,34,https://p.scdn.co/mp3-preview/28c69e85c60cf5ef4b18dfbc8b1680f36fdaf684?cid=38e2a4a43dbf4f63a749947cbcb26e74,dunosamiar,New Era MR,album,2023-12-01,7,https://i.scdn.co/image/ab67616d0000b273b2576c1a1824f95943ca1058
I Want You,232066,63,https://p.scdn.co/mp3-preview/9fcb6201e8a8c51c897efd3ecd740362e0ceb9a5?cid=38e2a4a43dbf4f63a749947cbcb26e74,Savage Garden,Savage Garden,album,1997-03-04,11,https://i.scdn.co/image/ab67616d0000b27384fef39a9a8293c86796599f
"Pursuit ~ Cornered (From ""Phoenix Wright: Ace Attorney"")",160874,16,https://p.scdn.co/mp3-preview/206e7fac27cbf027f2afef646ad37cd449011d37?cid=38e2a4a43dbf4f63a749947cbcb26e74,GameChops,Smooth McGroove Remixed 2,album,2017-01-13,14,https://i.scdn.co/image/ab67616d0000b273392eef5e2783b0bf2794feb9
