song_name,duration_ms,popularity,preview_url,artists,album_name,album_type,release_date,total_tracks,album_cover_url
"Unmei no Hi - Tamashii VS Tamashii (From ""Dragon Ball Z"") - Live",204030,15,https://p.scdn.co/mp3-preview/ad8aa7579d04e5dcbc92824d55dac82eff889a96?cid=38e2a4a43dbf4f63a749947cbcb26e74,Power Up Orchestra,"FAN MADE - ANIME, Vol. 1",album,2022-01-30,14,https://i.scdn.co/image/ab67616d0000b273995b0feae4183095f5204831
Katyusha,146837,57,https://p.scdn.co/mp3-preview/3a70b01f7c95a0d232bf1c11cedb56e318900373?cid=38e2a4a43dbf4f63a749947cbcb26e74,The Red Army Choir,"Favorite Russian Songs, Pt. 2",album,2020-05-22,14,https://i.scdn.co/image/ab67616d0000b273a88e536128027025b21bcf61
愛して 愛して 愛して,252000,70,https://p.scdn.co/mp3-preview/333c9faafaf76ef4781d8caf7427b887151b9829?cid=38e2a4a43dbf4f63a749947cbcb26e74,Kikuo,きくおミク3,album,2013-09-11,12,https://i.scdn.co/image/ab67616d0000b273d1bd3a0ccc3fe60f8d6941ca
GRRRLS,228904,64,https://p.scdn.co/mp3-preview/efe43da588e45c9df5ca0301debb04986d4c3c0c?cid=38e2a4a43dbf4f63a749947cbcb26e74,AViVA,VOLUME I,album,2020-06-19,11,https://i.scdn.co/image/ab67616d0000b273d2296da67bc48e979c587aee
Merry-Go-Round of Life - from 'Howl's Moving Castle',311106,72,,Joe Hisaishi,FREEDOM PIANO STORIES 4,album,2005-01-26,9,https://i.scdn.co/image/ab67616d0000b27333ea9fb3fd69bca55a015229
DEJA VU,260555,58,https://p.scdn.co/mp3-preview/05d6105fa7960d6730e4021ea1d628f2e211dab4?cid=38e2a4a43dbf4f63a749947cbcb26e74,dave rodgers,SUPER EUROBEAT presents INITIAL D DAVE RODGERS SELECTION,album,2019-09-11,15,https://i.scdn.co/image/ab67616d0000b273d3c9d5ee352e0c2d932e6f9e
Song of Storms (The Legend of Zelda: Ocarina of Time),60303,25,https://p.scdn.co/mp3-preview/066f64610a9a535ce1b54d56812e0f1f411a55e4?cid=38e2a4a43dbf4f63a749947cbcb26e74,Daniel Tidwell,Versus Video Games 3,album,2015-07-14,33,https://i.scdn.co/image/ab67616d0000b273ccde7fdf640a5e56e74b5092
Always with Me,215426,59,https://p.scdn.co/mp3-preview/60e34284713c4681d7f2f846943fc574f00a1e4c?cid=38e2a4a43dbf4f63a749947cbcb26e74,Joe Hisaishi,Spirited Away Soundtrack,album,2001-07-18,21,https://i.scdn.co/image/ab67616d0000b273fd220b07117400ccbc85ed96
Stronger Than You (feat. Estelle),172636,63,https://p.scdn.co/mp3-preview/14a2e708314a14f69bb9539081a15c81dcb2a870?cid=38e2a4a43dbf4f63a749947cbcb26e74,Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",album,2017-06-02,37,https://i.scdn.co/image/ab67616d0000b273e18ff29a2fe8e9c0df309fa6
Zelda's Lullaby (The Legend of Zelda: Ocarina of Time),116434,45,https://p.scdn.co/mp3-preview/59a1256e5507909b85ae670aee5e4c2e60686c1e?cid=38e2a4a43dbf4f63a749947cbcb26e74,Amy Turk,Zelda's Lullaby (The Legend of Zelda: Ocarina of Time),single,2017-08-30,1,https://i.scdn.co/image/ab67616d0000b273e0fb3de2e9a86a9b24c3277a
Bohemian Rhapsody - Remastered 2011,354320,74,,Queen,A Night At The Opera (Deluxe Remastered Version),album,1975-11-21,18,https://i.scdn.co/image/ab67616d0000b273ce4f1737bc8a646c8c4bd25a
Can't Help Falling in Love,182360,83,https://p.scdn.co/mp3-preview/962e228fc976da0f39439d99893b3d7151031577?cid=38e2a4a43dbf4f63a749947cbcb26e74,Elvis Presley,Blue Hawaii,album,1961-10-20,14,https://i.scdn.co/image/ab67616d0000b273f96cefb0197694ad440c3314
BLOODY STREAM,261920,67,https://p.scdn.co/mp3-preview/aa8bdab997c966a68ba39e0260e535cc55f4b946?cid=38e2a4a43dbf4f63a749947cbcb26e74,Coda,BLOODY STREAM,single,2013-01-30,2,https://i.scdn.co/image/ab67616d0000b2731f254fca2096ecec14c9ef95
It's Been So Long,174394,77,https://p.scdn.co/mp3-preview/c8e969030a5e9881ce2f149516f79f22cd77998e?cid=38e2a4a43dbf4f63a749947cbcb26e74,The Living Tombstone,It's Been So Long,single,2014-12-04,2,https://i.scdn.co/image/ab67616d0000b27348f2c49dcf2c569511c4a8d2
Rewrite The Stars,217440,75,https://p.scdn.co/mp3-preview/b59e1bd5efc1916ce39ce03f67dbbeb15ef62fc0?cid=38e2a4a43dbf4f63a749947cbcb26e74,Various Artists,The Greatest Showman (Original Motion Picture Soundtrack),compilation,2017-12-08,11,https://i.scdn.co/image/ab67616d0000b273128057b40732c042c86de1dd
lavender town ~ pokémon lofi,96500,36,https://p.scdn.co/mp3-preview/f39ab50b0db5193e70c9b8d086ccf6a167fc7d37?cid=38e2a4a43dbf4f63a749947cbcb26e74,Closed on Sunday,lavender town ~ pokémon lofi,single,2021-10-18,1,https://i.scdn.co/image/ab67616d0000b273a0ce66cfa77a215e49eda5ff
Battotai,260773,42,https://p.scdn.co/mp3-preview/23c9e45087eafa20f3bd35d97d3f4e9a5efb280c?cid=38e2a4a43dbf4f63a749947cbcb26e74,JGSDF Eastern Army Band,Collected Historical Japanese Army Songs,album,2016-10-01,30,https://i.scdn.co/image/ab67616d0000b273105e83e223095b631dd14001
"Piranha Plants Lullaby (From ""Super Mario 64 GMB Cinematic Soundtrack"")",141461,48,https://p.scdn.co/mp3-preview/83ca9a66361a862a05cff471edc7b1113b4b8be2?cid=38e2a4a43dbf4f63a749947cbcb26e74,Super Mario 64,"Piranha Plants Lullaby (From ""Super Mario 64 GMB Cinematic Soundtrack"")",single,2019-05-15,1,https://i.scdn.co/image/ab67616d0000b2733bac54569b71f8dd765f87c1
ピースサイン,238533,73,https://p.scdn.co/mp3-preview/e4ff9d81aaa848d09bb60899f4a0b818b42428fb?cid=38e2a4a43dbf4f63a749947cbcb26e74,Kenshi Yonezu,BOOTLEG,album,2017-11-01,14,https://i.scdn.co/image/ab67616d0000b273f038f68827e437530b3a80a8
"Clair de Lune, L. 32",268000,70,https://p.scdn.co/mp3-preview/5be874064e3a3d0be9a1df3e35427a98932bd0b3?cid=38e2a4a43dbf4f63a749947cbcb26e74,Claude Debussy,Debussy: Clair De Lune and Other Piano Favourites,album,1994,20,https://i.scdn.co/image/ab67616d0000b2736e7bb273ff9cb1de1e1d4d0a
"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",273666,68,,Frédéric Chopin,Chopin: Nocturnes,album,1982-01-01,13,https://i.scdn.co/image/ab67616d0000b27355c82855070525581e2c6fee
